explained_variance,policy_loss,total_timesteps,nupdates,fps,score,eplenmean,value_loss,eprewmean,approxkl,clipfrac,policy_entropy,serial_timesteps,time_elapsed
-0.002321958541870117,-0.00382773,40960,1,106,,119.8,9514.14,-749.27313872,0.005081,0.0499683,25.5141,2048,382.96472358703613
0.020695507526397705,-0.00397407,81920,2,105,,120.43,9459.89,-748.94403103,0.00442534,0.0408862,25.4832,4096,769.5974593162537
0.04325580596923828,-0.00421079,122880,3,103,,119.84,9406.36,-745.97332689,0.00466997,0.0447461,25.4566,6144,1165.7490122318268
0.06429028511047363,-0.00410789,163840,4,103,,120.13,9340.94,-749.15115201,0.00448366,0.0424341,25.4562,8192,1560.3329157829285
0.07884413003921509,-0.00442516,204800,5,102,,120.17,9257.31,-749.36939548,0.0049406,0.0493872,25.4653,10240,1958.6548335552216
0.09211289882659912,-0.00456942,245760,6,101,,120.13,9207.52,-747.91430456,0.00486606,0.0489942,25.4391,12288,2362.4946415424347
0.10160410404205322,-0.00431115,286720,7,102,,120.32,9167.59,-748.70224534,0.00467905,0.0441089,25.3945,14336,2763.2573957443237
0.11162269115447998,-0.00402541,327680,8,99,,120.82,9117.02,-749.8909135,0.00465881,0.0447363,25.3692,16384,3174.1660656929016
0.12114381790161133,-0.00474573,368640,9,102,,120.1,9096.53,-748.96711003,0.00478853,0.0475561,25.3463,18432,3574.573582649231
0.129666268825531,-0.00449203,409600,10,103,,120.54,9023.15,-748.68787814,0.00471746,0.0466089,25.3323,20480,3970.570553302765
0.13653820753097534,-0.00460606,450560,11,102,,120.44,8973.23,-746.30437427,0.00509363,0.0538403,25.3267,22528,4369.858273744583
0.1440175175666809,-0.00524634,491520,12,99,,120.41,8929.74,-744.47076118,0.00524498,0.0560718,25.3035,24576,4780.196805715561
0.15193217992782593,-0.0047324,532480,13,97,,120.23,8928.4,-746.66035671,0.00492264,0.0493774,25.2865,26624,5200.153939008713
0.1592736840248108,-0.00444858,573440,14,96,,120.26,8849.59,-746.64937113,0.00485131,0.0477002,25.2506,28672,5623.842162847519
0.1684550642967224,-0.0048369,614400,15,97,,120.69,8822.62,-747.95947772,0.00498768,0.0506055,25.2041,30720,6044.305168867111
0.17460626363754272,-0.00449844,655360,16,99,,121.22,8793.46,-749.62319884,0.00494954,0.0492871,25.1606,32768,6455.458508968353
0.1829214096069336,-0.00540197,696320,17,97,,120.17,8790.85,-746.33399625,0.00526829,0.0566675,25.119,34816,6875.617126941681
0.19131451845169067,-0.00409986,737280,18,100,,120.38,8760.3,-748.26234705,0.00503426,0.0518457,25.0944,36864,7281.260238409042
0.19580286741256714,-0.00431383,778240,19,97,,120.21,8709.63,-745.98799898,0.00494687,0.0506421,25.1015,38912,7699.27537727356
0.19857949018478394,-0.00408262,819200,20,94,,120.14,8710.08,-749.60775724,0.00509294,0.0524414,25.1119,40960,8131.2636613845825
0.20161253213882446,-0.00473171,860160,21,94,,120.52,8698.16,-747.83932315,0.00535465,0.0561377,25.0769,43008,8565.195301532745
0.20243221521377563,-0.00398405,901120,22,93,,120.58,8669.6,-749.78845605,0.00491973,0.0491333,25.0452,45056,9001.205197095871
0.20461606979370117,-0.00424704,942080,23,95,,121.26,8694.06,-751.37342885,0.00508637,0.0528882,25.038,47104,9429.853680372238
0.20517712831497192,-0.00499633,983040,24,94,,120.92,8691.88,-750.14131351,0.00515849,0.0544043,25.0255,49152,9864.188081264496
