time_elapsed,nupdates,serial_timesteps,eplenmean,approxkl,eprewmean,total_timesteps,clipfrac,score,fps,policy_loss,explained_variance,policy_entropy,value_loss
494.549601316452,1,2048,120.56,0.0015256,-778.22151367,65536,0.0680847,-0.799020088982,132,0.000578193,-0.00023162364959716797,25.5276,9957.58
1004.2424907684326,2,4096,119.86,0.000820653,-776.38265872,131072,0.0200378,-0.796926070381,128,-0.000465311,0.010037124156951904,25.5073,9940.38
1527.3065445423126,3,6144,120.09,0.000823961,-777.0253035,196608,0.0195572,-0.797663072433,125,-0.000568356,0.02172189950942993,25.4821,9928.28
2066.020233154297,4,8192,119.89,0.000777734,-776.92801813,262144,0.0186188,-0.797509074984,121,-0.000548454,0.030689656734466553,25.467,9867.03
2601.5337851047516,5,10240,120.37,0.000841991,-777.88799435,327680,0.0222275,-0.798633113426,122,-0.000689667,0.03951781988143921,25.444,9846.93
3171.9717280864716,6,12288,120.4,0.000903946,-778.50882995,393216,0.0239655,-0.799172183684,114,-0.000923274,0.04503047466278076,25.4345,9844.98
3747.5926311016083,7,14336,119.91,0.000935749,-776.78610916,458752,0.0273026,-0.79739753797,113,-0.000863626,0.05383104085922241,25.387,9800.88
4290.128608226776,8,16384,120.48,0.000867306,-779.2110203,524288,0.0237183,-0.799916744355,120,-0.000813015,0.058619797229766846,25.3959,9771.22
4837.638822078705,9,18432,119.92,0.000816675,-777.13840427,589824,0.0188171,-0.797710701009,119,-0.000705283,0.06440895795822144,25.3684,9729.25
5407.458070516586,10,20480,120.25,0.000881561,-778.19403563,655360,0.0242126,-0.798820923577,115,-0.000834759,0.06965881586074829,25.3598,9709.24
5995.512373209,11,22528,120.37,0.000888929,-777.73557608,720896,0.0251678,-0.798340645613,111,-0.000917565,0.07253175973892212,25.3421,9679.34
6583.575533628464,12,24576,119.89,0.000764351,-777.32661307,786432,0.0171814,-0.797924390707,111,-0.000604221,0.07795119285583496,25.3192,9681.39
7183.9314661026,13,26624,120.06,0.000882137,-778.41865436,851968,0.0237061,-0.799024159673,109,-0.000806522,0.08330690860748291,25.3233,9656.2
7794.068731069565,14,28672,120.16,0.000926216,-776.77300863,917504,0.0265091,-0.797495678333,107,-0.000873706,0.08733558654785156,25.3262,9619.26
8410.520120859146,15,30720,120.29,0.000944007,-776.43921895,983040,0.0285339,-0.797043427094,106,-0.000994004,0.09239476919174194,25.3082,9593.71
